restaurant name,restaurant address
51fifteen Cocktails and Cuisine,"5175 Westheimer Rd, Houston, TX 77056"
a'Bouzy,"2300 Westheimer Rd, Houston, TX 77098"
Aburi Sushi,"3800 Southwest Fwy Suite 104, Houston, TX 77027"
Adair Kitchen- San Felipe,"5161 San Felipe St, Houston, TX 77056"
Adair Kitchen- West University,"5176 Buffalo Speedway, Houston, TX 77005"
Aiko,"1902 Washington Ave Suite A, Houston, TX 77007"
Amerigo's Grille,"25250 Grogans Park Dr, The Woodlands, TX 77380"
Amrina,"3 Waterway Square Pl #100, The Woodlands, TX 77380"
Annabelle Brasserie,"811 Washington Ave, Houston, TX 77007"
Anthonie's Market Grill,"9108 FM 1489, Simonton, TX 77476"
Anthonys New York Italian,"3748 Westheimer Rd, Houston, TX 77027"
ARMANDOS,"2626 Westheimer Rd, Houston, TX 77098"
Astor's Table,"1520 S Mason Rd, Katy, TX 77450"
Audrey Restaurant & Bar,"9595 Six Pines Dr Suite 100, The Woodlands, TX 77380"
Audrey Restaurant & Bar - Post Oak,"1616 Post Oak Blvd, Houston, TX 77056"
Avenida Brazil Churrascaria Steakhouse Clear Lake,"201 Bay Area Blvd, Webster, TX 77598"
Avenida Brazil Churrascaria Steakhouse - Southwest Houston,"12000 Southwest Fwy, Meadows Place, TX 77477"
Azumi,"4444 Westheimer Rd, Houston, TX 77027"
B.B. Italia,"14795 Memorial Dr, Houston, TX 77079"
Baan Talay Thai Restaurant,"2260 Lone Star Dr, Sugar Land, TX 77479"
Babin's Seafood House,"21851 Katy Fwy, Katy, TX 77450"
Babin's Seafood House Woodlands,"19529 Interstate 45 S, Shenandoah, TX 77385"
Bacaro Kitchen & Wine Bar,"14021 Memorial Dr, Houston, TX 77079"
Bar Bludorn,"9061 Gaylord Dr, Houston, TX 77024"
Bar Xolo,"2450 Louisiana St, Houston, TX 77006"
Barbacana Restaurant,"4150 Washington Ave, Houston, TX 77007"
Bari Ristorante,"4444 Westheimer Rd, Houston, TX 77027"
Bayou & Bottle,"1300 Lamar St, Houston, TX 77010"
BAYOU CITY SEAFOOD & PASTA,"4712 Richmond Ave, Houston, TX 77027"
BCN Taste & Tradition,"4210 Roseland St, Houston, TX 77006"
Beausoleil HTX,"963 Judiway St, Houston, TX 77018"
Bistro Mistral - Bellaire,"5123 Bellaire Blvd, Bellaire, TX 77401"
Bistro Mistral - Memorial,"9799 Katy Fwy, Houston, TX 77024"
Black Walnut - Cinco Ranch,"23233 Cinco Ranch Blvd, Katy, TX 77494"
Black Walnut - Conroe,"2971 Hawthorne Dr, Conroe, TX 77303"
Black Walnut - Memorial Drive,"5512 Memorial Dr, Houston, TX 77007"
Black Walnut - Rice Village,"5510 Morningside Dr, Houston, TX 77005"
Black Walnut - The Woodlands,"9000 New Trails Dr, The Woodlands, TX 77381"
Black Walnut - Vintage Park,"10623 Louetta Rd, Houston, TX 77070"
Bloom & Bee,"1600 W Loop S, Houston, TX 77027"
Bludorn,"807 Taft St, Houston, TX 77019"
Brasil Cafe,"2604 Dunlavy St, Houston, TX 77006"
Brasserie at Soleil,"1800 Post Oak Blvd, Houston, TX 77056"
Brasserie du parc,"1440 Lamar St, Houston, TX 77010"
Brennan's of Houston,"3300 Smith St, Houston, TX 77006"
Brenner's on the Bayou,"1 Birdsall St, Houston, TX 77007"
Brenner's Steakhouse,"10911 Katy Fwy, Houston, TX 77079"
BRIX Restaurant,"2201 S Mason Rd, Katy, TX 77450"
Cadillac Bar,"1802 Shepherd Dr, Houston, TX 77007"
Cafe Benedicte,"15455 Memorial Dr, Houston, TX 77079"
Camaraderie,"608 W 11th St, Houston, TX 77008"
Candelaris Italiano,"2617 W Holcombe Blvd, Houston, TX 77025"
